City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Butaritari,3.0707,172.7902,83.88,73,10,18.14,KI,1632791263
Vaini,-21.2,-175.2,80.76,78,20,6.91,TO,1632791270
Pevek,69.7008,170.3133,23.76,74,100,5.73,RU,1632791260
Fukuechō,32.6881,128.8419,77.14,77,86,7.63,JP,1632791549
Cherskiy,68.75,161.3,22.95,95,100,17.49,RU,1632791381
Aksarka,66.5606,67.7975,31.06,84,100,10.16,RU,1632791270
Yellowknife,62.456,-114.3525,43.41,80,20,4.0,CA,1632791103
Jamestown,42.097,-79.2353,67.84,82,1,1.01,US,1632791134
Busselton,-33.65,115.3333,60.04,73,100,8.55,AU,1632791247
Hermanus,-34.4187,19.2345,54.9,80,6,6.24,ZA,1632791293
NEDJO,9.5046,35.5019,54.7,90,84,1.14,ET,1632791550
Punta Arenas,-53.15,-70.9167,42.82,87,90,13.8,CL,1632791249
Constitución,-35.3333,-72.4167,52.0,64,0,7.54,CL,1632791550
Vila Velha,-20.3297,-40.2925,75.15,83,75,8.05,BR,1632791317
Sabha,27.0377,14.4283,72.64,27,0,8.86,LY,1632791551
Ust-Maya,60.4167,134.5333,39.49,91,100,7.94,RU,1632791551
Rikitea,-23.1203,-134.9692,73.33,74,5,21.12,PF,1632791250
São Filipe,14.8961,-24.4956,79.54,79,13,5.37,CV,1632791346
Rosarito,32.3333,-117.0333,66.47,74,13,9.19,MX,1632791035
Palmer,42.1584,-72.3287,68.61,79,93,4.0,US,1632791552
Cape Town,-33.9258,18.4232,55.11,73,1,6.62,ZA,1632791160
Faanui,-16.4833,-151.75,79.63,73,6,14.88,PF,1632791388
Mar del Plata,-38.0023,-57.5575,49.12,73,0,1.01,AR,1632791208
Atuona,-9.8,-139.0333,77.85,73,14,19.66,PF,1632791249
Boyolangu,-8.1181,111.8935,78.13,71,80,9.95,ID,1632791552
Bengkulu,-3.8004,102.2655,78.33,86,61,3.53,ID,1632791294
Paris,48.8534,2.3488,53.15,89,0,2.3,FR,1632791372
Paamiut,61.994,-49.6678,34.03,59,0,1.74,GL,1632791553
Puerto Ayora,-0.7393,-90.3518,69.08,91,89,8.55,EC,1632791245
Oistins,13.0667,-59.5333,82.49,74,40,8.05,BB,1632791553
Hilo,19.7297,-155.09,82.13,71,90,8.05,US,1632791082
Jinsha,32.0898,121.0735,83.98,81,35,0.07,CN,1632791554
George Town,5.4112,100.3354,83.89,82,20,5.75,MY,1632791320
Natal,-5.795,-35.2094,77.65,83,75,9.22,BR,1632791554
Ürümqi,43.801,87.6005,56.35,25,0,4.47,CN,1632791555
Saldanha,-33.0117,17.9442,56.08,78,0,11.92,ZA,1632791393
Provideniya,64.3833,-173.3,33.91,69,75,11.18,RU,1632791287
Morón,-34.6534,-58.6198,55.15,97,100,5.01,AR,1632791555
Qaanaaq,77.484,-69.3632,24.48,65,100,7.09,GL,1632791244
Kidal,18.4411,1.4078,84.42,14,0,10.54,ML,1632791556
Castro,-24.7911,-50.0119,65.44,71,46,5.12,BR,1632791252
